S,Brand,Model,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
0,Maruti,Maruti Wagon R,Mumbai,2010,72000,CNG,Manual,First,26.6,998,58.16,5,1.75
1,Hyundai,Hyundai Creta 1.6,Pune,2015,41000,Diesel,Manual,First,19.67,1582,126.2,5,12.5
2,Honda,Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,18.2,1199,88.7,5,4.5
3,Maruti,Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,20.77,1248,88.76,7,6.0
4,Audi,Audi A4 New,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968,140.8,5,17.74
5,Hyundai,Hyundai EON LPG,Hyderabad,2012,75000,LPG,Manual,First,21.1,814,55.2,5,2.35
6,Nissan,Nissan Micra ,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461,63.1,5,3.5
7,Toyota,Toyota Innova Crysta,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755,171.5,8,17.5
8,Volkswagen,Volkswagen Vento ,Pune,2013,64430,Diesel,Manual,First,20.54,1598,103.6,5,5.2
9,Tata,Tata Indica Vista,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248,74.0,5,1.95
10,Maruti,Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.56,1462,103.25,5,9.95
11,Honda,Honda City 1.5,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497,116.3,5,4.49
12,Maruti,Maruti Swift VDI,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248,74.0,5,5.6
13,Land,Land Rover Range,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179,187.7,5,27.0
14,Mitsubishi,Mitsubishi Pajero Sport,Delhi,2014,110000,Diesel,Manual,First,13.5,2477,175.56,7,15.0
15,Honda,Honda Amaze S,Kochi,2016,58950,Diesel,Manual,First,25.8,1498,98.6,5,5.4
16,Maruti,Maruti Swift DDiS,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248,74.0,5,5.99
17,Renault,Renault Duster 85PS,Kochi,2014,77469,Diesel,Manual,First,20.45,1461,83.8,5,6.34
18,Mercedes-Benz,Mercedes-Benz New C-Class,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143,167.62,5,28.0
19,BMW,BMW 3 Series,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995,190.0,5,18.55
